name,phone
Adikme Travel & Tours Sdn Bhd,+60 (06) 7991121
Adinas Tours & Travel Sdn. Bhd.,+06 (03) 21660088
Admiral Tours & Travel Sdn. Bhd.,+6 (04) 2636394
Adora Travel & Tour Sdn Bhd,+06 (088) 778922
Advance Green Travel Sdn. Bhd.,+06 (03) 87334027
Adventoro Travel Technologies Sdn Bhd,+60 (3) 76606241
Adventure Alternative Borneo Sdn. Bhd.,+60 (082) 547544
Adventure Journey World Travel (Borneo) Sdn. Bhd.,+60 (088) 224918
Aegis Holidays Malaysia Sdn Bhd,+6 (03) 76613636
Aeman 69 Holidays Sdn Bhd,+06 (09) 7666269
Aeropod Travel & Tour Sdn. Bhd.,+60 (3) 33411225
Aerosystem Tours & Travel (M) Sdn Bhd,+60 (06) 9850284
AF Travel Sdn Bhd,+60 (07) 3008081
AF Travel Sdn. Bhd.,+60 (03) 26879699
A'Famosa Travel & Tours Sdn. Bhd.,+60 (06) 5520288
Afbatni Travel & Services Sdn Bhd,+60 (03332) 33272
A-Fly Luxury Travel & Tours Sdn Bhd,+60 (088) 484401
Afrinabatrisyia Travel & Tour Sdn Bhd,+60 (017) 4665699
AFS Car Rental And Tours Sdn. Bhd.,+60 (111) 0560064
Agensi Pelancongan Bintang Rajin Sdn Bhd,+60 (09) 5142922
Agensi Pelancongan Wawasan Sdn Bhd,+60 (11) 20281129
Agensi Pelancungan D & Adik Beradik Sdn. Bhd.,+60 (09) 6301189
Agensi Pelancungan JTT (Mentakab) Sdn. Bhd.,+60 (09) 2774963
Aggrate Shaufer Travel & Tours Sdn Bhd,+6 (07) 2830002
Agogo Adventure Sports Sdn Bhd,+6 (011) 62802796
Agtran Travel Sdn Bhd,+60 (14) 6404040
Ahlan Travel & Tours Sdn Bhd,+60 (03) 21424999
AHSB Rent A Car Sdn. Bhd.,+6 (088) 213517
AI Smart Holidays Sdn. Bhd.,+60 (012) 6375969
Ai Travel Sdn Bhd,+60 (16) 8270911
AIC Footprints Travels & Tours Sdn. Bhd.,+60 (88) 277792
Aidil Travel & Tours Sdn Bhd,+60 (03) 40414244
Aidil Travel & Tours Sdn. Bhd.,+60 (05) 2543244
Aimemoda Tour & Travel Sdn Bhd,+6 (088) 218082
Airborne Sdn. Bhd.,+60 (04) 2632141
Airborne Travel Sdn. Bhd.,+60 (08) 7414986
Airlines Booking Centre Sdn. Bhd.,+60 (03) 21450898
Airlink Travel & Tour Sdn. Bhd.,+6 (03) 80601199
Airnett Travel and Tours Sdn Bhd,+06 (03) 55670205
Airplus Travel Services Sdn. Bhd.,+60 (03) 41427378
Airport Tour and Travel Services Sdn. Bhd.,+60 (012) 3778143
Airworld Travel & Tours Sdn. Bhd.,+60 (088) 231899
AIT Holidays Sdn Bhd,+60 (03) 21432026
AJ Best Travel Sdn. Bhd.,+06 (088) 718459
AJ Express Travel & Tour Sdn. Bhd.,+60 (019) 7290170
Ajaq Global Travel & Tours Sdn Bhd,+60 (05) 7702593
Ajua Travel & Tours Sdn Bhd,+60 (09) 7409025
Ajyad Travel & Tours Sdn. Bhd.,+06 (06) 7611788
Akbar Travel Of India Sdn Bhd,+60 (03) 26022786
Aku Dan Istanbul Travel & Tours Sdn. Bhd.,+60 (3) 55243675
Al Aafiyah Travel & Tours Sdn Bhd,+60 (03) 42886501
Al Amin International Travels Sdn Bhd,+60 (03) 20224316
Al Ansar Travel & Tours Sdn Bhd,+60 (18) 9096916
Al Balad Travel & Tours Sdn Bhd,+60 (03) 61772525
Al Diuf Al Arabia Tourism & Travel Sdn Bhd,+60 (03) 21102419
Al Fajr Travel & Tours Sdn Bhd,+06 (03) 61277793
Al Farhan Travel & Tours Sdn Bhd,+6 (04) 7336343
Al Fateh Worldwide Travel & Tours Sdn Bhd,+082 (505) 621
Al Fawwaz Travel & Services Sdn Bhd,+60 (03) 42664098
Al Furqan Travel & Tours Sdn Bhd,+60 (03) 90546054
Al Hakim Travel & Tours Sdn Bhd,+60 (11) 25380705
Al Haramain Global Tours And Services Sdn Bhd,+6 (05) 4340650
Al Hijjrah Vacation Sdn Bhd,+06 (06) 6771330
Al Khairi Travel Travel & Tours Sdn Bhd,+60 (11) 11887004
Al Masobih Travels & Tours Sdn Bhd,+60 (013) 3567446
Al Masyhur International Travel & Tours Sdn Bhd,+6 (010) 9243404
Al Muneer Travel & Tours Sdn. Bhd.,+60 (19) 5599379
Al Quds Umrah & Tours (M) Sdn Bhd,+06 (09) 7479999
Al Ridzuan Travel & Tours Sdn Bhd,+04 (440) 0388
Al Sakkaf Travel & Tours Sdn Bhd,+006 (03) 23035050
Al Tijarah Travel & Tours Sdn Bhd,+6 (05) 5250642
Al Waqar Travel Sdn. Bhd.,+60 (03) 60391636
Al-Alamiah Travel & Tours Sdn.Bhd.,+60 (03) 56362454
Alam Mutiara Holidays (Penang) Sdn.Bhd.,+6 (04) 2299981
Alam Travel & Tours Sdn. Bhd.,+60 (13) 3332769
ALCC Al Amin Travel Sdn Bhd,+60 (03) 55232296
Alemars Tours & Transport Sdn.Bhd.,+60 (03) 40448081
Al-Fateh Travel & Tours Services Sdn Bhd,+60 (03) 55236476
Alibaba Tours & Travel Sdn. Bhd.,+60 (019) 2287801
Alice Tour & Travel Agency Sdn Bhd,+60 (084) 789788
Al-Ilmi Travel & Tours Sdn. Bhd.,+06 (03) 42801906
Alirfanco Travel And Tours Sendirian Berhad,+60 (04) 4410754
All About Destination Sdn Bhd,+019 (858) 9497
AllStar Travel & Tours Sdn Bhd,+60 (03) 22625995
Al-Mandili Travel & Tours (M) Sdn Bhd,+06 (013) 4664686
Almaziah Mobility Travel & Tours Sdn Bhd,+60 (04) 6587769
Almohit Travel & Tours Sdn. Bhd.,+06 (03) 89552973
Al-Mukminin Travel & Tours Sdn. Bhd.,+60 (03) 55487662
Al-Nile Tour & Travel Sendirian Berhad,+06 (04) 7334023
Alpenrose Adventure Sdn Bhd,+6 (016) 8311754
Alphalink Tours And Travel Sdn Bhd,+60 (012) 7333427
Al-Quds Travel (Sarawak) Sdn. Bhd.,+60 (082) 232411
Alrohmah Tours & Services Sdn Bhd,+60 (03) 51034141
Altis Holidays Sdn. Bhd.,+60 (03) 41442976
Alwasayet Travels & Tours Umrah Services Sdn Bhd,+60 (12) 4409135
Al-Zahabi Travel Sdn Bhd,+60 (07) 2360560
AM Aima Travel & Tours Sdn Bhd,+60 (06) 2926907
Aman Asia Travel & Tours Sdn Bhd,+60 (32882) 2886
Amansar Travel & Tours Sdn. Bhd.,+06 (082) 241200
Amar Travel & Tours Sdn Bhd,+60 (03) 26927979
Amazing Nature Travel Services Sdn Bhd,+60 (04) 6455427
Amazing Scenic Holiday Sdn. Bhd.,+60 (05) 5473880
Amazing Umrah Travel Sdn Bhd,+60 (03) 61275005
Ambar Travel & Tours Sdn. Bhd.,+06 (03) 55244330
Ameriasa Tours & Travel Sdn. Bhd.,+60 (03) 92839920
AMI Car Rental Sdn Bhd,+60 (082) 579679
Amingo Tours Sdn Bhd,+60 (16) 9478038
Amjad Umrahajj Travel & Tours Sdn Bhd,+60 (011) 10164868
Amogha Tours & Travel Sdn Bhd,+06 (082) 575984
Ample Holidays & Rent A Car Sdn Bhd,+60 (016) 8338085
Amudi Holidays Sdn. Bhd.,+60 (07) 9328111
Amwaj Travel & Tours Sdn. Bhd.,+6 (03) 61508844
Ana Azka Travel & Tours Sdn Bhd,+6 (019) 8855580
Anand Travels Sdn. Bhd.,+60 (03) 33710022
Anas Travel & Tours Sdn. Bhd.,+06 (12) 3161951
Anda Travel & Tours (Malacca) Sdn Bhd,+006 (06) 2847188
Anda Travel & Tours Sdn. Bhd.,+006 (06) 9524343
Andalusia Travel & Tours Sdn. Bhd.,+60 (03) 92831588
Andaman World Holidays Sdn. Bhd.,+60 (012) 4751144
Ang Lee Holiday Semporna Sdn Bhd,+60 (089) 785777
Angel Tours (KL) Sdn. Bhd.,+60 (03) 21488288
Angel Tours Sdn. Bhd.,+6 (04) 2613488
Angsana Travel & Tours Sdn Bhd,+60 (03) 89594950
Angsana Voyages Sdn Bhd,+60 (03) 33589835
Anjung Holidays Sdn Bhd,+60 (09) 6974095
Anjur Maju Ekspres & Tour Sdn. Bhd.,+05 (717) 9936
Anna Ocean Adventure Sdn Bhd,+60 (089) 785232
Anna Travellers Sdn Bhd,+06 (03) 89599657
An-NajwaTravel & Tours Sdn. Bhd.,+60 (03) 42703278
Annas Holidays Sdn Bhd,+06 (03) 61862116
Annur Travel & Tours Sdn. Bhd.,+06 (05) 3114500
Anpec Travel & Tours Sdn Bhd,+06 (03) 89580945
Antar Holiday & Convention Sdn Bhd,+60 (04) 7773333
Aparu Holiday Tours Sdn. Bhd.,+06 (088) 270653
Apollo Holidays Malaysia Sdn. Bhd.,+60 (11) 30255268
Apple Vacations (Bukit Jalil) Sdn Bhd,+06 (03) 21481778
Apple Vacations (Damansara) Sdn Bhd,+06 (03) 21411818
Apple Vacations Sdn. Bhd.,+06 (03) 21418250
Apxara Travel & Events Sdn Bhd,+6 (03) 76656068
AR Travel & Tours Sdn. Bhd.,+60 (03) 51613835
Arahato Travel & Tours Sdn Bhd,+60 (03) 22027125
Arba Travel & Tours Sdn Bhd,+06 (03) 86874950
Archangel Borneo Holidays Sdn. Bhd.,+60 (88) 212799
Arefa Travel & Tours Sdn Bhd,+60 (03) 50310870
ARF Travel & Tours Sdn Bhd,(016) 2309756
Arifah Travel & Tours Sdn Bhd,+06 (03) 42704096
Arina Travel & Tours Sdn Bhd,+06 (03) 61866641
Arjunan Travel & Tours Sdn Bhd,+06 (012) 2788547
Aroma Holiday Sdn Bhd,+60 (03) 91338898
Ar-Raudhah Travel & Tours Sdn Bhd,+60 (13) 4033070
Arrayyan Travel Services Sdn. Bhd.,+6 (07) 2448700
Arthur Travel Sdn. Bhd.,+06 (03) 21453700
Artists Holiday Sdn. Bhd.,+60 (04) 7319966
Arung Hayat Sea Adventures Sdn. Bhd.,+6 (089) 782846
Aruni Travel & Tours Sdn Bhd,+60 (09) 6193233
Arwana Travel & Tours Sdn Bhd,+06 (05) 6890151
Aryan Rizq Travel Sdn. Bhd.,-
As Holidays Travel And Tours Sdn Bhd,+60 (05) 5973269
As Thur Travel Sdn Bhd,+6 (04) 4685248
AS World Vacation Sdn Bhd,+06 (03) 20701979
Asahi Vacations Travel & Tours Sdn Bhd,+60 (03) 22760133
Aseh Travel & Tours Sdn Bhd,+6 (088) 242424
Asia Cathay Travel Sdn. Bhd.,+60 (03) 21425566
Asia Delight Tours & Travel Sdn Bhd,+60 (03) 20263277
Asia Direct Travel And Tours Sdn. Bhd.,+06 (088) 215319
Asia Experience Tours Sdn Bhd,+06 (03) 40428818
Asia Experience Travel Sdn Bhd,+60 (03) 27319954
