name,phone
AIRPORT TOUR AND TRAVEL SERVICE SDN.BHD,03-9131 9815 / 012-377 8143
AIRWORLD TRAVEL & TOURS SDN BHD,03-27334594
AIT HOLIDAYS HOLIDAYS SDN. BHD.,03-2148 2148
AJS ASIA TRAVEL & TOURS SDN. BHD.,03-2711 6482
AKBAR TRAVELS OF INDIA SDN. BHD.,03-2602 1786/ 011-3616 2146
AL AMIN INTERNATIONAL TRAVELS SDN BHD (RDS MANAGEMENT TRAVEL AND TOURS (M) SDN. BHD.),03-92268211
AL DIUF AL ARABIA TOURISM & TRAVEL SDN. BHD,03-2110 2419
AL FAWWAZ TRAVEL & SERVICES SDN. BHD. (NIBRAS TRAVEL & SERVICES SDN. BHD.),03-4266 9048/ 012-206 7873
AL HIJJRAH VACATION SDN BHD,0166613424
AL IKHLAS TRAVEL & TOUR SDN BHD,017-2846992
AL MANDILI TRAVEL & TOURS (M) SDN. BHD ,03-4032 1413/013-2129051/019-202 8918
AL MASOBIH TRAVEL & TOURS SDN BHD,013-312 1911/013-333 9192
AL SAKKAF TRAVEL & TOURS SDN. BHD. (JAAM-E-JAM HOLIDAY AND TOURS SDN. BHD.),03-4292 6363/018-777 018
AL SAKKAF TRAVEL & TOURS SDN. BHD. (JAAM-E-JAM HOLIDAY AND TOURS SDN. BHD.),
AL-ALAMIAH TRAVEL & TOURS SDN. BHD.,
ALMOHIT TRAVEL & TOURS SDN. BHD.,012-63355445
ALTIS HOLIDAYS SDN. BHD.,03-4144 2976
ALWASAYET TRAVELS & TOURS UMRAH SERVICES SDN. BHD.,03-2712 9135
AMAZING WORLD GATEWAY SDN. BHD.,03-9205 5477
AMERIASA TOURS & TRAVEL SDN. BHD,03-9283 9920
ANDALUSIA TRAVEL & TOURS SDN BHD,03 - 9283 1588
ANGGERIK TRAVEL & TOURS SDN. BHD.,03-2141 9839
ANNAUFAL TRAVEL & TOURS SDN. BHD. (GRACELAND HOLIDAYS SDN. BHD.),019-3087725/03-42709596
APES HOLIDAYS SDN. BHD.,03-91073322
APES VACATION SDN. BHD.,03-9107 0808
APOLLO HOLIDAYS MALAYSIA SDN. BHD.,03-6252 8003
APPLE SIGNATURE HOLIDAYS SDN. BHD. (EVERGREEN ADVENTURE TRAVEL SDN. BHD.),03-21433939
APPLE VACATIONS SDN. BHD.,03-2141 8250
ARISTA TOUR & TRAVEL SDN BHD,0103551143 / 03-64119715
AROMA HOLIDAY SDN. BHD.,03-9133 8898
AS WORLD VACATION SDN BHD,03-2070 1979
AS-SIRAJ HAJ UMRAH TRAVEL & TOURS SDN. BHD.,03-2272 1309
ASAHI VACATIONS TRAVEL & TOURS SDN. BHD.,03-2276 0133
ASIA CATHAY TRAVEL SDN. BHD,03-2142 5566 / 5651
ASIA EXPERIENCE TOURS SDN. BHD. (SRI DANTA TRAVEL & TOURS SDN. BHD.),03-2181 0543
ASIA EXPERIENCE TOURS SDN. BHD. (SRI DANTA TRAVEL & TOURS SDN. BHD.),03-4042 8818
ASIA EXPERIENCE TRAVEL SDN. BHD.,012-676 7736 / 03-2617 2068
ASIA MOBIL TRAVEL SDN. BHD.,03-90553294
ASIA PACIFIC ADVENTURES SDN. BHD.,03-2704 5723 / 017- 308 2891
ASIA PREMIUM HOLIDAYS SDN. BHD.,03-62061577
